Months,"Stock[1, First]","Stock[1, Second]","Stock[2, First]","Stock[2, Second]",Goal,"Gap[1, First]","Gap[1, Second]","Gap[2, First]","Gap[2, Second]","AT[1, First]","AT[1, Second]","AT[2, First]","AT[2, Second]","Flow[1, First]","Flow[1, Second]","Flow[2, First]","Flow[2, Second]"
14.0,20.000008063447023,20.6122525141513,24.524930188020246,30.437849358656774,20.0,-8.063447022976789e-06,-0.6122525141513009,-4.524930188020246,-10.437849358656774,1.0,3.0,5.0,7.0,-8.063447022976789e-06,-0.20408417138376697,-0.9049860376040492,-1.4911213369509677
14.25,20.000006047585266,20.56123147130536,24.298683678619234,30.06506902441903,20.0,-6.047585266344413e-06,-0.5612314713053586,-4.298683678619234,-10.065069024419032,1.0,3.0,5.0,7.0,-6.047585266344413e-06,-0.18707715710178618,-0.8597367357238468,-1.437867003488433
14.5,20.00000453568895,20.514462182029913,24.083749494688274,29.705602273546923,20.0,-4.5356889515346666e-06,-0.5144621820299129,-4.0837494946882735,-9.705602273546923,1.0,3.0,5.0,7.0,-4.5356889515346666e-06,-0.17148739400997096,-0.8167498989376547,-1.3865146105067032
14.75,20.000003401766712,20.47159033352742,23.87956201995386,29.358973620920246,20.0,-3.401766711874643e-06,-0.47159033352741986,-3.879562019953859,-9.358973620920246,1.0,3.0,5.0,7.0,-3.401766711874643e-06,-0.1571967778424733,-0.7759124039907718,-1.336996231560035
15.0,20.000002551325032,20.432291139066802,23.685583918956166,29.024724563030237,20.0,-2.5513250321296255e-06,-0.43229113906680183,-3.6855839189561657,-9.024724563030237,1.0,3.0,5.0,7.0,-2.5513250321296255e-06,-0.1440970463556006,-0.7371167837912331,-1.2892463661471767
15.25,20.000001913493776,20.396266877477903,23.501304723008356,28.70241297149344,20.0,-1.913493775873576e-06,-0.39626687747790257,-3.5013047230083565,-8.702412971493441,1.0,3.0,5.0,7.0,-1.913493775873576e-06,-0.13208895915930086,-0.7002609446016713,-1.2432018530704916
15.5,20.000001435120332,20.363244637688076,23.32623948685794,28.39161250822582,20.0,-1.435120331905182e-06,-0.36324463768807647,-3.32623948685794,-8.391612508225819,1.0,3.0,5.0,7.0,-1.435120331905182e-06,-0.12108154589602549,-0.665247897371588,-1.1988017868894028
15.75,20.000001076340247,20.33297425121407,23.159927512515043,28.091912061503468,20.0,-1.0763402471525296e-06,-0.3329742512140683,-3.1599275125150434,-8.091912061503468,1.0,3.0,5.0,7.0,-1.0763402471525296e-06,-0.11099141707135611,-0.6319855025030087,-1.1559874373576382
16.0,20.000000807255184,20.305226396946228,23.00193113688929,27.80291520216406,20.0,-8.072551835880404e-07,-0.3052263969462281,-3.00193113688929,-7.802915202164058,1.0,3.0,5.0,7.0,-8.072551835880404e-07,-0.10174213231540936,-0.600386227377858,-1.1147021717377226
16.25,20.000000605441386,20.279790863867376,22.851834580044827,27.52423965922963,20.0,-6.054413859146734e-07,-0.27979086386737606,-2.8518345800448266,-7.524239659229629,1.0,3.0,5.0,7.0,-6.054413859146734e-07,-0.09326362128912535,-0.5703669160089653,-1.0748913798899469
16.5,20.00000045408104,20.256474958545095,22.709242851042585,27.255516814257142,20.0,-4.540810394360051e-07,-0.2564749585450947,-2.7092428510425854,-7.255516814257142,1.0,3.0,5.0,7.0,-4.540810394360051e-07,-0.08549165284836491,-0.5418485702085171,-1.0365024020367346
16.75,20.00000034056078,20.235102045333004,22.573780708490457,26.99639121374796,20.0,-3.4056078135336065e-07,-0.23510204533300438,-2.5737807084904567,-6.996391213747959,1.0,3.0,5.0,7.0,-3.4056078135336065e-07,-0.0783673484443348,-0.5147561416980914,-0.9994844591068512
17.0,20.000000255420588,20.21551020822192,22.445091673065935,26.746520098971246,20.0,-2.5542058779137733e-07,-0.21551020822192157,-2.445091673065935,-6.746520098971246,1.0,3.0,5.0,7.0,-2.5542058779137733e-07,-0.07183673607397385,-0.489018334613187,-0.9637885855673208
17.25,20.00000019156544,20.197551024203428,22.322837089412637,26.505572952579417,20.0,-1.91565440843533e-07,-0.19755102420342752,-2.322837089412637,-6.505572952579417,1.0,3.0,5.0,7.0,-1.91565440843533e-07,-0.0658503414011425,-0.4645674178825274,-0.9293675646542024
17.5,20.00000014367408,20.18108843885314,22.206695234942003,26.273231061415867,20.0,-1.436740788562929e-07,-0.1810884388531413,-2.2066952349420035,-6.273231061415867,1.0,3.0,5.0,7.0,-1.436740788562929e-07,-0.0603628129510471,-0.4413390469884007,-0.8961758659165524
17.75,20.00000010775556,20.16599773561538,22.096360473194903,26.04918709493673,20.0,-1.0775556091857652e-07,-0.165997735615381,-2.0963604731949026,-6.04918709493673,1.0,3.0,5.0,7.0,-1.0775556091857652e-07,-0.05533257853846033,-0.4192720946389805,-0.8641695849909615
18.0,20.00000008081667,20.152164590980767,21.991542449535157,25.83314469868899,20.0,-8.081666891257555e-08,-0.1521645909807674,-1.9915424495351566,-5.83314469868899,1.0,3.0,5.0,7.0,-8.081666891257555e-08,-0.05072153032692247,-0.3983084899070313,-0.8333063855269985
18.25,20.0000000606125,20.139484208399036,21.891965327058397,25.62481810230724,20.0,-6.061249990807482e-08,-0.1394842083990362,-1.8919653270583972,-5.624818102307241,1.0,3.0,5.0,7.0,-6.061249990807482e-08,-0.04649473613301206,-0.37839306541167944,-0.8035454431867487
18.5,20.000000045459373,20.127860524365783,21.797367060705476,25.423931741510554,20.0,-4.545937315469928e-08,-0.12786052436578288,-1.7973670607054757,-5.423931741510554,1.0,3.0,5.0,7.0,-4.545937315469928e-08,-0.04262017478859429,-0.3594734121410951,-0.7748473916443649
18.75,20.00000003409453,20.117205480668634,21.7074987076702,25.23021989359946,20.0,-3.409452986602446e-08,-0.11720548066863401,-1.7074987076702008,-5.230219893599461,1.0,3.0,5.0,7.0,-3.409452986602446e-08,-0.03906849355621134,-0.34149974153404017,-0.7471742705142087
19.0,20.0000000255709,20.10743835727958,21.62212377228669,25.04342632597091,20.0,-2.5570898287696764e-08,-0.10743835727958029,-1.6221237722866917,-5.043426325970909,1.0,3.0,5.0,7.0,-2.5570898287696764e-08,-0.0358127857598601,-0.3244247544573383,-0.7204894751387013
19.25,20.000000019178174,20.098485160839616,21.541017583672357,24.863303957186233,20.0,-1.9178173715772573e-08,-0.09848516083961556,-1.5410175836723567,-4.863303957186233,1.0,3.0,5.0,7.0,-1.9178173715772573e-08,-0.03282838694653852,-0.30820351673447133,-0.6947577081694618
19.5,20.00000001438363,20.090278064102982,21.46396670448874,24.689614530143867,20.0,-1.438363028682943e-08,-0.09027806410298211,-1.4639667044887403,-4.689614530143867,1.0,3.0,5.0,7.0,-1.438363028682943e-08,-0.03009268803432737,-0.29279334089774806,-0.6699449328776953
19.75,20.000000010787723,20.0827548920944,21.390768369264304,24.522128296924443,20.0,-1.0787722715122072e-08,-0.08275489209439968,-1.390768369264304,-4.522128296924443,1.0,3.0,5.0,7.0,-1.0787722715122072e-08,-0.02758496403146656,-0.2781536738528608,-0.6460183281320633
20.0,20.000000008090794,20.075858651086534,21.32122995080109,24.360623714891428,20.0,-8.090793812698394e-09,-0.07585865108653422,-1.32122995080109,-4.360623714891428,1.0,3.0,5.0,7.0,-8.090793812698394e-09,-0.025286217028844742,-0.264245990160218,-0.6229462449844897
